# DavinciArm telemetry export
# Points=980
# Columns=t_rel_s,arm_angle_deg,ref_angle_deg,tracking_error_deg,valid
# Decimals=6
# SortedByTime=true
#
t_rel_s,arm_angle_deg,ref_angle_deg,tracking_error_deg,valid
0.482142,,180.994555,,1
0.512467,171.066686,170.939878,-0.126808,1
0.512485,,170.939878,,1
0.512488,179.980241,180.013734,0.033492,1
0.512493,,180.013734,,1
0.512496,179.732055,180.193418,0.461363,1
0.512499,,180.193418,,1
0.512502,179.096382,180.528775,1.432392,1
0.512506,,180.528775,,1
0.512510,179.275679,180.994555,1.718876,1
0.512514,,180.994555,,1
0.542688,170.939878,170.939878,0.000000,1
0.542706,,170.939878,,1
0.542709,180.013735,180.013734,-0.000001,1
0.542714,,180.013734,,1
0.542717,180.193421,180.193418,-0.000003,1
0.542720,,180.193418,,1
0.542723,180.528777,180.528775,-0.000002,1
0.542729,,180.528775,,1
0.542733,180.994553,180.994555,0.000002,1
0.542736,,180.994555,,1
0.572959,171.066686,170.939878,-0.126808,1
0.572991,,170.939878,,1
0.572994,179.980241,180.013734,0.033492,1
0.572998,,180.013734,,1
0.573000,179.732055,180.193418,0.461363,1
0.573002,,180.193418,,1
0.573005,179.096382,180.528775,1.432392,1
0.573008,,180.528775,,1
0.573010,179.275679,180.994555,1.718876,1
0.573014,,180.994555,,1
0.603183,170.939878,170.939878,0.000000,1
0.603202,,170.939878,,1
0.603205,180.013735,180.013734,-0.000001,1
0.603210,,180.013734,,1
0.603212,180.193421,180.193418,-0.000003,1
0.603216,,180.193418,,1
0.603218,180.528777,180.528775,-0.000002,1
0.603222,,180.528775,,1
0.603227,180.994553,180.994555,0.000002,1
0.603231,,180.994555,,1
0.631432,171.066686,170.939878,-0.126808,1
0.631443,,170.939878,,1
0.631445,179.980241,180.013734,0.033492,1
0.631447,,180.013734,,1
0.631448,179.732055,180.193418,0.461363,1
0.631450,,180.193418,,1
0.631452,179.096382,180.528775,1.432392,1
0.631454,,180.528775,,1
0.631456,179.275679,180.994555,1.718876,1
0.631458,,180.994555,,1
0.661727,170.939878,170.939878,0.000000,1
0.661747,,170.939878,,1
