# DavinciArm telemetry export
# Points=980
# Columns=t_rel_s,arm_angle_deg,ref_angle_deg,tracking_error_deg,valid
# Decimals=6
# SortedByTime=true
#
t_rel_s,arm_angle_deg,ref_angle_deg,tracking_error_deg,valid
2.199829,179.096383,180.528775,1.432392,1
2.199837,,180.528775,,1
2.199839,179.275679,180.994555,1.718876,1
2.199843,,180.994555,,1
2.229984,170.939878,170.939878,0.000000,1
2.229999,,170.939878,,1
2.230002,180.013735,180.013734,-0.000001,1
2.230007,,180.013734,,1
2.230009,180.193421,180.193418,-0.000003,1
2.230013,,180.193418,,1
2.230015,180.528777,180.528775,-0.000003,1
2.230020,,180.528775,,1
2.230022,180.994552,180.994555,0.000003,1
2.230026,,180.994555,,1
2.260171,171.066686,170.939878,-0.126809,1
2.260180,,170.939878,,1
2.260182,179.980241,180.013734,0.033492,1
2.260186,,180.013734,,1
2.260187,179.732055,180.193418,0.461363,1
2.260189,,180.193418,,1
2.260191,179.096383,180.528775,1.432392,1
2.260193,,180.528775,,1
2.260195,179.275679,180.994555,1.718876,1
2.260198,,180.994555,,1
2.290528,170.939878,170.939878,0.000000,1
2.290562,,170.939878,,1
2.290566,180.013735,180.013734,-0.000001,1
2.290569,,180.013734,,1
2.290573,180.193421,180.193418,-0.000003,1
2.290575,,180.193418,,1
2.290577,180.528777,180.528775,-0.000003,1
2.290582,,180.528775,,1
2.290583,180.994552,180.994555,0.000003,1
2.290588,,180.994555,,1
2.318608,171.066686,170.939878,-0.126809,1
2.318627,,170.939878,,1
2.318630,179.980241,180.013734,0.033492,1
2.318635,,180.013734,,1
2.318638,179.732055,180.193418,0.461363,1
2.318642,,180.193418,,1
2.318644,179.096383,180.528775,1.432392,1
2.318651,,180.528775,,1
2.318654,179.275679,180.994555,1.718876,1
2.318658,,180.994555,,1
2.349036,170.939878,170.939878,0.000000,1
2.349047,,170.939878,,1
2.349049,180.013735,180.013734,-0.000001,1
2.349052,,180.013734,,1
2.349053,180.193421,180.193418,-0.000003,1
2.349056,,180.193418,,1
2.349057,180.528777,180.528775,-0.000003,1
2.349060,,180.528775,,1
2.349061,180.994552,180.994555,0.000003,1
2.349063,,180.994555,,1
2.379603,171.066686,170.939878,-0.126809,1
2.379613,,170.939878,,1
2.379615,179.980241,180.013734,0.033492,1
2.379617,,180.013734,,1
2.379618,179.732055,180.193418,0.461363,1
2.379620,,180.193418,,1
2.379621,179.096383,180.528775,1.432392,1
2.379624,,180.528775,,1
2.379625,179.275679,180.994555,1.718876,1
2.379627,,180.994555,,1
2.409934,170.939878,170.939878,0.000000,1
2.409968,,170.939878,,1
2.409970,180.013735,180.013734,-0.000001,1
2.409973,,180.013734,,1
2.409974,180.193421,180.193418,-0.000003,1
2.409977,,180.193418,,1
2.409979,180.528777,180.528775,-0.000003,1
2.409985,,180.528775,,1
2.409986,180.994552,180.994555,0.000003,1
2.409989,,180.994555,,1
2.440314,171.066686,170.939878,-0.126809,1
2.440354,,170.939878,,1
2.440357,179.980241,180.013734,0.033492,1
2.440361,,180.013734,,1
2.440362,179.732055,180.193418,0.461363,1
2.440365,,180.193418,,1
2.440366,179.096383,180.528775,1.432392,1
2.440373,,180.528775,,1
2.440375,179.275679,180.994555,1.718876,1
2.440378,,180.994555,,1
2.470740,170.939878,170.939878,0.000000,1
2.470757,,170.939878,,1
2.470760,180.013735,180.013734,-0.000001,1
2.470763,,180.013734,,1
2.470765,180.193421,180.193418,-0.000003,1
2.470767,,180.193418,,1
2.470768,180.528777,180.528775,-0.000003,1
2.470771,,180.528775,,1
2.470773,180.994552,180.994555,0.000003,1
2.470775,,180.994555,,1
2.501342,171.066686,170.939878,-0.126809,1
2.501356,,170.939878,,1
2.501358,179.980241,180.013734,0.033492,1
2.501361,,180.013734,,1
2.501362,179.732055,180.193418,0.461363,1
2.501364,,180.193418,,1
2.501366,179.096383,180.528775,1.432392,1
2.501369,,180.528775,,1
2.501370,179.275679,180.994555,1.718876,1
2.501372,,180.994555,,1
2.529580,170.939878,170.939878,0.000000,1
2.529594,,170.939878,,1
2.529597,180.013735,180.013734,-0.000001,1
2.529602,,180.013734,,1
2.529605,180.193421,180.193418,-0.000003,1
2.529608,,180.193418,,1
2.529611,180.528777,180.528775,-0.000003,1
2.529617,,180.528775,,1
2.529620,180.994552,180.994555,0.000003,1
2.529623,,180.994555,,1
2.559719,171.066686,170.939878,-0.126809,1
2.559745,,170.939878,,1
2.559748,179.980241,180.013734,0.033492,1
2.559752,,180.013734,,1
2.559754,179.732055,180.193418,0.461363,1
2.559756,,180.193418,,1
2.559757,179.096383,180.528775,1.432392,1
2.559763,,180.528775,,1
2.559765,179.275679,180.994555,1.718876,1
2.559770,,180.994555,,1
2.590002,170.939878,170.939878,0.000000,1
2.590028,,170.939878,,1
2.590031,180.013735,180.013734,-0.000001,1
2.590034,,180.013734,,1
2.590036,180.193421,180.193418,-0.000003,1
2.590039,,180.193418,,1
2.590041,180.528777,180.528775,-0.000003,1
2.590046,,180.528775,,1
2.590047,180.994552,180.994555,0.000003,1
2.590052,,180.994555,,1
2.620116,171.066686,170.939878,-0.126809,1
2.620136,,170.939878,,1
2.620139,179.980241,180.013734,0.033492,1
2.620143,,180.013734,,1
2.620145,179.732055,180.193418,0.461363,1
2.620150,,180.193418,,1
2.620152,179.096383,180.528775,1.432392,1
2.620157,,180.528775,,1
2.620160,179.275679,180.994555,1.718876,1
2.620164,,180.994555,,1
2.650465,170.939878,170.939878,0.000000,1
2.650479,,170.939878,,1
2.650480,180.013735,180.013734,-0.000001,1
2.650483,,180.013734,,1
2.650484,180.193421,180.193418,-0.000003,1
2.650486,,180.193418,,1
2.650488,180.528777,180.528775,-0.000003,1
2.650491,,180.528775,,1
2.650492,180.994552,180.994555,0.000003,1
2.650494,,180.994555,,1
2.680617,171.066686,170.939878,-0.126809,1
2.680637,,170.939878,,1
2.680640,179.980241,180.013734,0.033492,1
2.680645,,180.013734,,1
2.680647,179.732055,180.193418,0.461363,1
2.680651,,180.193418,,1
2.680653,179.096383,180.528775,1.432392,1
2.680659,,180.528775,,1
2.680661,179.275679,180.994555,1.718876,1
2.680665,,180.994555,,1
2.711125,170.939878,170.939878,0.000000,1
2.711150,,170.939878,,1
2.711156,180.013735,180.013734,-0.000001,1
2.711162,,180.013734,,1
2.711166,180.193421,180.193418,-0.000003,1
2.711171,,180.193418,,1
2.711175,180.528777,180.528775,-0.000003,1
2.711182,,180.528775,,1
2.711185,180.994552,180.994555,0.000003,1
2.711190,,180.994555,,1
2.741258,171.066686,170.939878,-0.126809,1
2.741278,,170.939878,,1
2.741282,179.980241,180.013734,0.033492,1
2.741285,,180.013734,,1
2.741287,179.732055,180.193418,0.461363,1
2.741290,,180.193418,,1
2.741292,179.096383,180.528775,1.432392,1
2.741296,,180.528775,,1
2.741297,179.275679,180.994555,1.718876,1
2.741300,,180.994555,,1
2.771697,170.939878,170.939878,0.000000,1
2.771715,,170.939878,,1
2.771718,180.013735,180.013734,-0.000001,1
2.771722,,180.013734,,1
2.771724,180.193421,180.193418,-0.000003,1
2.771726,,180.193418,,1
2.771728,180.528777,180.528775,-0.000003,1
2.771733,,180.528775,,1
2.771736,180.994552,180.994555,0.000003,1
2.771739,,180.994555,,1
2.801836,171.066686,170.939878,-0.126809,1
2.801857,,170.939878,,1
2.801859,179.980241,180.013734,0.033492,1
2.801864,,180.013734,,1
2.801867,179.732055,180.193418,0.461363,1
2.801870,,180.193418,,1
2.801872,179.096383,180.528775,1.432392,1
2.801877,,180.528775,,1
2.801881,179.275679,180.994555,1.718876,1
2.801884,,180.994555,,1
2.832115,170.939878,170.939878,0.000000,1
2.832126,,170.939878,,1
2.832127,180.013735,180.013734,-0.000001,1
2.832130,,180.013734,,1
2.832131,180.193421,180.193418,-0.000003,1
2.832134,,180.193418,,1
2.832135,180.528777,180.528775,-0.000003,1
2.832137,,180.528775,,1
2.832139,180.994552,180.994555,0.000003,1
2.832141,,180.994555,,1
2.862345,171.066686,170.939878,-0.126809,1
2.862364,,170.939878,,1
2.862368,179.980241,180.013734,0.033492,1
2.862372,,180.013734,,1
2.862375,179.732055,180.193418,0.461363,1
2.862379,,180.193418,,1
2.862389,179.096383,180.528775,1.432392,1
2.862396,,180.528775,,1
2.862399,179.275679,180.994555,1.718876,1
2.862402,,180.994555,,1
2.892615,170.939878,170.939878,0.000000,1
2.892631,,170.939878,,1
2.892634,180.013735,180.013734,-0.000001,1
2.892638,,180.013734,,1
2.892641,180.193421,180.193418,-0.000003,1
2.892646,,180.193418,,1
2.892648,180.528777,180.528775,-0.000003,1
2.892653,,180.528775,,1
2.892656,180.994552,180.994555,0.000003,1
2.892660,,180.994555,,1
2.922874,171.066686,170.939878,-0.126809,1
2.922894,,170.939878,,1
2.922896,179.980241,180.013734,0.033492,1
2.922898,,180.013734,,1
2.922900,179.732055,180.193418,0.461363,1
2.922903,,180.193418,,1
2.922905,179.096383,180.528775,1.432392,1
2.922909,,180.528775,,1
2.922911,179.275679,180.994555,1.718876,1
2.922913,,180.994555,,1
