# DavinciArm telemetry export
# Points=720
# Columns=t_rel_s,arm_angle_deg,ref_angle_deg,tracking_error_deg,motor_speed_deg_s,valid
# Decimals=6
# SortedByTime=true
#
t_rel_s,arm_angle_deg,ref_angle_deg,tracking_error_deg,motor_speed_deg_s,valid
0.391678,,180.316288,,,1
0.391682,179.983397,179.975968,-0.007429,,1
0.391682,,,,3.213507,1
0.391687,,179.975968,,,1
0.391689,180.600806,180.666748,0.065942,,1
0.391689,,,,45.828089,1
0.391693,,180.666748,,,1
0.391696,182.896565,183.278766,0.382201,,1
0.391696,,,,143.129707,1
0.391701,,183.278766,,,1
0.391703,,,,171.887341,1
0.391703,177.442421,176.847514,-0.594907,,1
0.391707,,176.847514,,,1
0.419903,180.386065,180.316288,-0.069777,,1
0.419903,,,,12.625025,1
0.419920,,180.316288,,,1
0.419923,179.951303,179.975968,0.024665,,1
0.419923,,,,-3.211469,1
0.419925,,179.975968,,,1
0.419927,,,,-45.847119,1
0.419927,180.142146,180.666748,0.524602,,1
0.419929,,180.666748,,,1
0.419931,181.463074,183.278766,1.815692,,1
0.419931,,,,-143.239450,1
0.419934,,183.278766,,,1
0.419935,175.726963,176.847514,1.120551,,1
0.419935,,,,-171.716608,1
0.419937,,176.847514,,,1
0.452383,180.259492,180.316288,0.056796,,1
0.452383,,,,-12.641203,1
0.452402,,180.316288,,,1
0.452405,,,,3.213584,1
0.452405,179.983459,179.975968,-0.007491,,1
0.452410,,179.975968,,,1
0.452413,180.600240,180.666748,0.066509,,1
0.452413,,,,45.828303,1
0.452418,,180.666748,,,1
0.452420,182.893276,183.278766,0.385490,,1
0.452420,,,,143.129872,1
0.452424,,183.278766,,,1
0.452427,177.447543,176.847514,-0.600029,,1
0.452427,,,,171.887341,1
0.452431,,176.847514,,,1
0.480440,180.385581,180.316288,-0.069293,,1
0.480440,,,,12.625094,1
0.480465,,180.316288,,,1
0.480467,179.951365,179.975968,0.024603,,1
0.480467,,,,-3.211550,1
0.480470,,179.975968,,,1
0.480472,180.141578,180.666748,0.525170,,1
0.480472,,,,-45.847303,1
0.480474,,180.666748,,,1
0.480478,181.459787,183.278766,1.818980,,1
0.480478,,,,-143.239450,1
0.480481,,183.278766,,,1
0.480483,175.732080,176.847514,1.115434,,1
0.480483,,,,-171.716864,1
0.480485,,176.847514,,,1
0.510720,180.259007,180.316288,0.057281,,1
0.510720,,,,-12.641247,1
0.510740,,180.316288,,,1
0.510743,179.983522,179.975968,-0.007554,,1
0.510743,,,,3.213661,1
0.510748,,179.975968,,,1
0.510750,180.599674,180.666748,0.067074,,1
0.510750,,,,45.828516,1
0.510754,,180.666748,,,1
0.510757,182.889992,183.278766,0.388774,,1
0.510757,,,,143.130037,1
0.510762,,183.278766,,,1
0.510765,177.452657,176.847514,-0.605143,,1
0.510765,,,,171.887341,1
0.510769,,176.847514,,,1
0.540884,,,,12.625162,1
0.540884,180.385098,180.316288,-0.068810,,1
0.540897,,180.316288,,,1
0.540900,,,,-3.211631,1
0.540900,179.951426,179.975968,0.024542,,1
0.540905,,179.975968,,,1
0.540908,180.141011,180.666748,0.525738,,1
0.540908,,,,-45.847488,1
0.540911,,180.666748,,,1
0.540914,181.456504,183.278766,1.822262,,1
0.540914,,,,-143.239450,1
0.540919,,183.278766,,,1
0.540922,175.737189,176.847514,1.110325,,1
0.540922,,,,-171.717120,1
0.540926,,176.847514,,,1
0.571160,180.258524,180.316288,0.057764,,1
0.571160,,,,-12.641291,1
0.571174,,180.316288,,,1
0.571176,179.983584,179.975968,-0.007616,,1
0.571176,,,,3.213738,1
0.571179,,179.975968,,,1
0.571181,180.599109,180.666748,0.067639,,1
0.571181,,,,45.828730,1
0.571182,,180.666748,,,1
0.571184,182.886713,183.278766,0.392053,,1
0.571184,,,,143.130202,1
0.571186,,183.278766,,,1
0.571188,177.457764,176.847514,-0.610250,,1
0.571188,,,,171.887341,1
0.571191,,176.847514,,,1
0.601301,180.384615,180.316288,-0.068327,,1
0.601301,,,,12.625230,1
0.601317,,180.316288,,,1
0.601319,179.951488,179.975968,0.024480,,1
0.601319,,,,-3.211712,1
0.601322,,179.975968,,,1
0.601324,180.140444,180.666748,0.526304,,1
0.601324,,,,-45.847672,1
0.601325,,180.666748,,,1
0.601327,181.453227,183.278766,1.825539,,1
0.601327,,,,-143.239450,1
0.601329,,183.278766,,,1
0.601331,175.742291,176.847514,1.105224,,1
0.601331,,,,-171.717375,1
0.601333,,176.847514,,,1
0.631472,,,,-12.641335,1
0.631472,180.258041,180.316288,0.058247,,1
0.631498,,180.316288,,,1
0.631500,,,,3.213816,1
0.631500,179.983647,179.975968,-0.007679,,1
0.631504,,179.975968,,,1
0.631506,180.598545,180.666748,0.068203,,1
0.631506,,,,45.828943,1
0.631509,,180.666748,,,1
0.631513,182.883439,183.278766,0.395327,,1
0.631513,,,,143.130367,1
0.631516,,183.278766,,,1
0.631526,,,,171.887341,1
0.631526,177.462863,176.847514,-0.615349,,1
0.631530,,176.847514,,,1
0.661711,180.384134,180.316288,-0.067845,,1
0.661711,,,,12.625297,1
0.661726,,180.316288,,,1
0.661730,179.951549,179.975968,0.024419,,1
0.661730,,,,-3.211793,1
0.661734,,179.975968,,,1
0.661738,180.139879,180.666748,0.526870,,1
0.661738,,,,-45.847857,1
0.661742,,180.666748,,,1
0.661744,,,,-143.239450,1
0.661744,181.449954,183.278766,1.828812,,1
0.661749,,183.278766,,,1
0.661751,175.747385,176.847514,1.100130,,1
0.661751,,,,-171.717629,1
0.661755,,176.847514,,,1
0.691976,180.257559,180.316288,0.058729,,1
0.691976,,,,-12.641378,1
0.691988,,180.316288,,,1
0.691991,179.983709,179.975968,-0.007741,,1
0.691991,,,,3.213893,1
0.691995,,179.975968,,,1
0.691998,180.597982,180.666748,0.068766,,1
0.691998,,,,45.829156,1
0.692002,,180.666748,,,1
0.692004,182.880170,183.278766,0.398596,,1
0.692004,,,,143.130531,1
0.692008,,183.278766,,,1
0.692010,177.467954,176.847514,-0.620440,,1
0.692010,,,,171.887341,1
0.692014,,176.847514,,,1
0.722189,180.383652,180.316288,-0.067364,,1
0.722189,,,,12.625365,1
0.722201,,180.316288,,,1
0.722203,,,,-3.211874,1
0.722203,179.951611,179.975968,0.024357,,1
0.722206,,179.975968,,,1
0.722208,180.139314,180.666748,0.527434,,1
0.722208,,,,-45.848041,1
0.722209,,180.666748,,,1
0.722211,,,,-143.239450,1
0.722211,181.446687,183.278766,1.832079,,1
0.722213,,183.278766,,,1
0.722215,175.752471,176.847514,1.095043,,1
0.722215,,,,-171.717884,1
0.722218,,176.847514,,,1
0.752281,180.257078,180.316288,0.059210,,1
0.752281,,,,-12.641422,1
0.752300,,180.316288,,,1
0.752302,179.983771,179.975968,-0.007803,,1
0.752302,,,,3.213970,1
0.752305,,179.975968,,,1
0.752307,180.597420,180.666748,0.069329,,1
0.752307,,,,45.829370,1
0.752310,,180.666748,,,1
0.752311,182.876906,183.278766,0.401861,,1
0.752311,,,,143.130696,1
0.752314,,183.278766,,,1
0.752315,,,,171.887341,1
0.752315,177.473038,176.847514,-0.625524,,1
0.752318,,176.847514,,,1
0.782504,180.383172,180.316288,-0.066884,,1
0.782504,,,,12.625433,1
0.782520,,180.316288,,,1
0.782522,179.951672,179.975968,0.024296,,1
0.782522,,,,-3.211956,1
0.782525,,179.975968,,,1
0.782526,180.138750,180.666748,0.527998,,1
0.782526,,,,-45.848226,1
0.782528,,180.666748,,,1
0.782530,181.443424,183.278766,1.835342,,1
0.782530,,,,-143.239450,1
0.782534,,183.278766,,,1
0.782536,175.757550,176.847514,1.089965,,1
0.782536,,,,-171.718137,1
0.782538,,176.847514,,,1
0.812657,180.256597,180.316288,0.059691,,1
0.812657,,,,-12.641466,1
0.812673,,180.316288,,,1
0.812675,,,,3.214047,1
0.812675,179.983833,179.975968,-0.007865,,1
0.812679,,179.975968,,,1
0.812680,,,,45.829583,1
0.812680,180.596858,180.666748,0.069890,,1
0.812682,,180.666748,,,1
0.812683,182.873646,183.278766,0.405120,,1
0.812683,,,,143.130860,1
0.812686,,183.278766,,,1
0.812687,177.478114,176.847514,-0.630600,,1
0.812687,,,,171.887341,1
0.812691,,176.847514,,,1
0.842976,,,,12.625501,1
0.842976,180.382692,180.316288,-0.066404,,1
0.842988,,180.316288,,,1
0.842991,179.951733,179.975968,0.024235,,1
0.842991,,,,-3.212037,1
0.842995,,179.975968,,,1
0.842999,180.138187,180.666748,0.528561,,1
0.842999,,,,-45.848411,1
0.843003,,180.666748,,,1
0.843005,181.440166,183.278766,1.838600,,1
0.843005,,,,-143.239450,1
0.843009,,183.278766,,,1
0.843011,,,,-171.718391,1
0.843011,175.762621,176.847514,1.084894,,1
0.843015,,176.847514,,,1
0.873205,180.256118,180.316288,0.060170,,1
0.873205,,,,-12.641510,1
0.873221,,180.316288,,,1
0.873223,179.983895,179.975968,-0.007927,,1
0.873223,,,,3.214125,1
0.873226,,179.975968,,,1
0.873228,,,,45.829796,1
0.873228,180.596298,180.666748,0.070451,,1
0.873231,,180.666748,,,1
0.873232,182.870392,183.278766,0.408374,,1
0.873232,,,,143.131023,1
0.873235,,183.278766,,,1
0.873236,177.483183,176.847514,-0.635668,,1
0.873236,,,,171.887341,1
0.873238,,176.847514,,,1
0.903634,180.382214,180.316288,-0.065925,,1
0.903634,,,,12.625568,1
0.903651,,180.316288,,,1
0.903654,,,,-3.212118,1
0.903654,179.951794,179.975968,0.024174,,1
0.903659,,179.975968,,,1
0.903661,180.137625,180.666748,0.529123,,1
0.903661,,,,-45.848595,1
0.903665,,180.666748,,,1
0.903668,181.436914,183.278766,1.841853,,1
0.903668,,,,-143.239450,1
0.903672,,183.278766,,,1
0.903675,175.767684,176.847514,1.079830,,1
0.903675,,,,-171.718644,1
0.903679,,176.847514,,,1
0.934153,180.255639,180.316288,0.060650,,1
0.934153,,,,-12.641553,1
0.934180,,180.316288,,,1
0.934185,179.983956,179.975968,-0.007988,,1
0.934185,,,,3.214202,1
0.934193,,179.975968,,,1
0.934198,180.595738,180.666748,0.071010,,1
0.934198,,,,45.830010,1
0.934205,,180.666748,,,1
0.934208,182.867142,183.278766,0.411624,,1
0.934208,,,,143.131187,1
0.934215,,183.278766,,,1
0.934219,,,,171.887341,1
0.934219,177.488244,176.847514,-0.640729,,1
0.934224,,176.847514,,,1
0.962308,180.381735,180.316288,-0.065447,,1
0.962308,,,,12.625636,1
0.962334,,180.316288,,,1
0.962339,179.951855,179.975968,0.024113,,1
0.962339,,,,-3.212200,1
0.962345,,179.975968,,,1
0.962348,,,,-45.848780,1
0.962348,180.137064,180.666748,0.529685,,1
0.962351,,180.666748,,,1
0.962353,181.433666,183.278766,1.845100,,1
0.962353,,,,-143.239450,1
0.962356,,183.278766,,,1
0.962358,175.772740,176.847514,1.074774,,1
0.962358,,,,-171.718897,1
0.962361,,176.847514,,,1
0.992535,180.255160,180.316288,0.061128,,1
0.992535,,,,-12.641597,1
0.992551,,180.316288,,,1
0.992554,,,,3.214280,1
0.992554,179.984018,179.975968,-0.008050,,1
0.992558,,179.975968,,,1
0.992561,180.595179,180.666748,0.071569,,1
0.992561,,,,45.830223,1
0.992565,,180.666748,,,1
0.992567,182.863898,183.278766,0.414868,,1
0.992567,,,,143.131350,1
0.992573,,183.278766,,,1
0.992575,177.493297,176.847514,-0.645783,,1
0.992575,,,,171.887341,1
0.992579,,176.847514,,,1
1.022823,180.381258,180.316288,-0.064970,,1
1.022823,,,,12.625703,1
1.022839,,180.316288,,,1
1.022840,179.951916,179.975968,0.024052,,1
1.022840,,,,-3.212281,1
1.022843,,179.975968,,,1
1.022845,180.136504,180.666748,0.530245,,1
1.022845,,,,-45.848965,1
1.022847,,180.666748,,,1
1.022848,181.430423,183.278766,1.848343,,1
1.022848,,,,-143.239450,1
1.022851,,183.278766,,,1
1.022853,175.777788,176.847514,1.069726,,1
1.022853,,,,-171.719149,1
1.022855,,176.847514,,,1
1.053076,180.254682,180.316288,0.061606,,1
1.053076,,,,-12.641640,1
1.053095,,180.316288,,,1
1.053099,179.984080,179.975968,-0.008112,,1
1.053099,,,,3.214358,1
1.053103,,179.975968,,,1
1.053107,180.594621,180.666748,0.072127,,1
1.053107,,,,45.830437,1
1.053110,,180.666748,,,1
1.053113,182.860658,183.278766,0.418108,,1
1.053113,,,,143.131513,1
1.053117,,183.278766,,,1
1.053119,177.498343,176.847514,-0.650828,,1
1.053119,,,,171.887341,1
1.053122,,176.847514,,,1
1.083400,180.380781,180.316288,-0.064493,,1
1.083400,,,,12.625770,1
1.083423,,180.316288,,,1
1.083427,,,,-3.212363,1
1.083427,179.951976,179.975968,0.023992,,1
1.083431,,179.975968,,,1
1.083433,180.135944,180.666748,0.530804,,1
1.083433,,,,-45.849150,1
1.083436,,180.666748,,,1
1.083441,181.427185,183.278766,1.851582,,1
1.083441,,,,-143.239450,1
1.083444,,183.278766,,,1
1.083446,175.782829,176.847514,1.064685,,1
1.083446,,,,-171.719401,1
1.083449,,176.847514,,,1
1.113710,180.254205,180.316288,0.062083,,1
1.113710,,,,-12.641684,1
1.113729,,180.316288,,,1
1.113731,179.984141,179.975968,-0.008173,,1
1.113731,,,,3.214435,1
1.113737,,179.975968,,,1
1.113738,180.594064,180.666748,0.072684,,1
1.113738,,,,45.830650,1
1.113740,,180.666748,,,1
1.113742,182.857423,183.278766,0.421343,,1
1.113742,,,,143.131676,1
1.113746,,183.278766,,,1
1.113747,,,,171.887341,1
1.113747,177.503381,176.847514,-0.655867,,1
1.113749,,176.847514,,,1
1.143950,180.380305,180.316288,-0.064017,,1
1.143950,,,,12.625838,1
1.143962,,180.316288,,,1
1.143966,179.952037,179.975968,0.023931,,1
1.143966,,,,-3.212444,1
1.143972,,179.975968,,,1
1.143975,,,,-45.849335,1
1.143975,180.135385,180.666748,0.531363,,1
1.143979,,180.666748,,,1
1.143982,181.423951,183.278766,1.854815,,1
1.143982,,,,-143.239450,1
1.143987,,183.278766,,,1
1.143989,175.787862,176.847514,1.059652,,1
1.143989,,,,-171.719653,1
1.143993,,176.847514,,,1
1.174197,180.253729,180.316288,0.062559,,1
1.174197,,,,-12.641727,1
1.174210,,180.316288,,,1
1.174216,,,,3.214513,1
1.174216,179.984202,179.975968,-0.008234,,1
1.174221,,179.975968,,,1
1.174224,180.593508,180.666748,0.073241,,1
1.174224,,,,45.830863,1
1.174228,,180.666748,,,1
1.174230,182.854193,183.278766,0.424573,,1
1.174230,,,,143.131838,1
1.174236,,183.278766,,,1
1.174238,177.508412,176.847514,-0.660897,,1
1.174238,,,,171.887341,1
1.174244,,176.847514,,,1
1.204525,180.379830,180.316288,-0.063542,,1
1.204525,,,,12.625905,1
1.204535,,180.316288,,,1
1.204537,179.952097,179.975968,0.023871,,1
1.204537,,,,-3.212526,1
1.204540,,179.975968,,,1
1.204542,180.134827,180.666748,0.531921,,1
1.204542,,,,-45.849520,1
1.204544,,180.666748,,,1
1.204545,181.420723,183.278766,1.858043,,1
1.204545,,,,-143.239450,1
1.204548,,183.278766,,,1
1.204549,175.792888,176.847514,1.054627,,1
1.204549,,,,-171.719904,1
1.204552,,176.847514,,,1
1.234727,180.253254,180.316288,0.063034,,1
1.234727,,,,-12.641770,1
1.234742,,180.316288,,,1
1.234746,179.984263,179.975968,-0.008296,,1
1.234746,,,,3.214591,1
1.234751,,179.975968,,,1
1.234754,180.592952,180.666748,0.073796,,1
1.234754,,,,45.831077,1
1.234757,,180.666748,,,1
1.234760,182.850968,183.278766,0.427798,,1
1.234760,,,,143.132000,1
1.234765,,183.278766,,,1
1.234767,177.513435,176.847514,-0.665920,,1
1.234767,,,,171.887341,1
1.234771,,176.847514,,,1
1.265071,180.379355,180.316288,-0.063067,,1
1.265071,,,,12.625972,1
1.265092,,180.316288,,,1
1.265095,,,,-3.212607,1
1.265095,179.952158,179.975968,0.023810,,1
1.265101,,179.975968,,,1
1.265103,180.134270,180.666748,0.532478,,1
1.265103,,,,-45.849705,1
1.265105,,180.666748,,,1
1.265106,181.417500,183.278766,1.861267,,1
1.265106,,,,-143.239450,1
1.265110,,183.278766,,,1
1.265113,175.797906,176.847514,1.049609,,1
1.265113,,,,-171.720155,1
1.265116,,176.847514,,,1
1.295441,180.252779,180.316288,0.063509,,1
1.295441,,,,-12.641814,1
1.295455,,180.316288,,,1
1.295458,179.984325,179.975968,-0.008357,,1
1.295458,,,,3.214669,1
1.295463,,179.975968,,,1
1.295464,180.592398,180.666748,0.074351,,1
1.295464,,,,45.831290,1
1.295468,,180.666748,,,1
1.295470,182.847748,183.278766,0.431018,,1
1.295470,,,,143.132162,1
1.295474,,183.278766,,,1
1.295475,177.518450,176.847514,-0.670936,,1
1.295475,,,,171.887341,1
1.295479,,176.847514,,,1
1.323871,180.378881,180.316288,-0.062593,,1
1.323871,,,,12.626039,1
1.323890,,180.316288,,,1
1.323893,179.952218,179.975968,0.023750,,1
1.323893,,,,-3.212689,1
1.323898,,179.975968,,,1
1.323901,180.133714,180.666748,0.533034,,1
1.323901,,,,-45.849890,1
1.323905,,180.666748,,,1
1.323908,181.414281,183.278766,1.864485,,1
1.323908,,,,-143.239450,1
1.323912,,183.278766,,,1
1.323914,175.802916,176.847514,1.044598,,1
1.323914,,,,-171.720405,1
1.323918,,176.847514,,,1
1.354246,180.252305,180.316288,0.063983,,1
1.354246,,,,-12.641857,1
1.354261,,180.316288,,,1
1.354263,,,,3.214747,1
1.354263,179.984386,179.975968,-0.008418,,1
1.354266,,179.975968,,,1
1.354267,180.591844,180.666748,0.074904,,1
1.354267,,,,45.831503,1
1.354269,,180.666748,,,1
1.354271,182.844532,183.278766,0.434234,,1
1.354271,,,,143.132324,1
1.354274,,183.278766,,,1
1.354275,,,,171.887341,1
1.354275,177.523458,176.847514,-0.675944,,1
1.354277,,176.847514,,,1
1.384429,180.378408,180.316288,-0.062120,,1
1.384429,,,,12.626105,1
1.384450,,180.316288,,,1
1.384455,179.952278,179.975968,0.023690,,1
1.384455,,,,-3.212771,1
1.384462,,179.975968,,,1
1.384465,180.133159,180.666748,0.533589,,1
1.384465,,,,-45.850075,1
1.384470,,180.666748,,,1
1.384475,,,,-143.239450,1
1.384475,181.411067,183.278766,1.867699,,1
1.384480,,183.278766,,,1
1.384483,175.807919,176.847514,1.039595,,1
1.384483,,,,-171.720656,1
1.384489,,176.847514,,,1
1.414750,180.251831,180.316288,0.064457,,1
1.414750,,,,-12.641900,1
1.414770,,180.316288,,,1
1.414773,,,,3.214825,1
1.414773,179.984446,179.975968,-0.008478,,1
1.414777,,179.975968,,,1
1.414779,180.591291,180.666748,0.075457,,1
1.414779,,,,45.831717,1
1.414782,,180.666748,,,1
1.414785,182.841322,183.278766,0.437444,,1
1.414785,,,,143.132485,1
1.414787,,183.278766,,,1
1.414790,177.528459,176.847514,-0.680945,,1
1.414790,,,,171.887341,1
1.414793,,176.847514,,,1
