# DavinciArm telemetry export
# Points=720
# Columns=t_rel_s,arm_angle_deg,ref_angle_deg,tracking_error_deg,motor_speed_deg_s,valid
# Decimals=6
# SortedByTime=true
#
t_rel_s,arm_angle_deg,ref_angle_deg,tracking_error_deg,motor_speed_deg_s,valid
0.000000,,,,12.624546,1
0.000000,180.389473,180.316288,-0.073185,,1
0.000017,,180.316288,,,1
0.000021,179.950867,179.975968,0.025101,,1
0.000021,,,,-3.210904,1
0.000025,,179.975968,,,1
0.000028,,,,-45.845830,1
0.000028,180.146148,180.666748,0.520601,,1
0.000031,,180.666748,,,1
0.000034,181.486225,183.278766,1.792542,,1
0.000034,,,,-143.239450,1
0.000039,,183.278766,,,1
0.000042,175.690930,176.847514,1.156585,,1
0.000042,,,,-171.714807,1
0.000048,,176.847514,,,1
0.028146,180.262901,180.316288,0.053387,,1
0.028146,,,,-12.640894,1
0.028173,,180.316288,,,1
0.028179,,,,3.213047,1
0.028179,179.983018,179.975968,-0.007050,,1
0.028186,,179.975968,,,1
0.028190,180.604224,180.666748,0.062524,,1
0.028190,,,,45.826810,1
0.028196,,180.666748,,,1
0.028201,182.916404,183.278766,0.362362,,1
0.028201,,,,143.128709,1
0.028209,,183.278766,,,1
0.028213,,,,171.887341,1
0.028213,177.411527,176.847514,-0.564013,,1
0.028219,,176.847514,,,1
0.058416,180.388984,180.316288,-0.072696,,1
0.058416,,,,12.624615,1
0.058436,,180.316288,,,1
0.058440,179.950929,179.975968,0.025039,,1
0.058440,,,,-3.210985,1
0.058444,,179.975968,,,1
0.058447,180.145574,180.666748,0.521175,,1
0.058447,,,,-45.846014,1
0.058450,,180.666748,,,1
0.058452,181.482902,183.278766,1.795864,,1
0.058452,,,,-143.239450,1
0.058459,,183.278766,,,1
0.058461,175.696100,176.847514,1.151414,,1
0.058461,,,,-171.715065,1
0.058466,,176.847514,,,1
0.088716,180.262412,180.316288,0.053876,,1
0.088716,,,,-12.640938,1
0.088730,,180.316288,,,1
0.088733,,,,3.213123,1
0.088733,179.983081,179.975968,-0.007113,,1
0.088737,,179.975968,,,1
0.088740,,,,45.827023,1
0.088740,180.603653,180.666748,0.063096,,1
0.088744,,180.666748,,,1
0.088747,182.913085,183.278766,0.365681,,1
0.088747,,,,143.128876,1
0.088750,,183.278766,,,1
0.088753,177.416696,176.847514,-0.569181,,1
0.088753,,,,171.887341,1
0.088756,,176.847514,,,1
0.119087,,,,12.624683,1
0.119087,180.388496,180.316288,-0.072208,,1
0.119102,,180.316288,,,1
0.119104,179.950992,179.975968,0.024976,,1
0.119104,,,,-3.211065,1
0.119107,,179.975968,,,1
0.119108,180.145000,180.666748,0.521748,,1
0.119108,,,,-45.846198,1
0.119111,,180.666748,,,1
0.119113,181.479585,183.278766,1.799181,,1
0.119113,,,,-143.239450,1
0.119115,,183.278766,,,1
0.119116,,,,-171.715324,1
0.119116,175.701264,176.847514,1.146251,,1
0.119118,,176.847514,,,1
0.149329,180.261923,180.316288,0.054365,,1
0.149329,,,,-12.640982,1
0.149356,,180.316288,,,1
0.149359,179.983145,179.975968,-0.007177,,1
0.149359,,,,3.213200,1
0.149363,,179.975968,,,1
0.149365,,,,45.827236,1
0.149365,180.603082,180.666748,0.063667,,1
0.149367,,180.666748,,,1
0.149369,182.909771,183.278766,0.368995,,1
0.149369,,,,143.129043,1
0.149372,,183.278766,,,1
0.149374,177.421856,176.847514,-0.574342,,1
0.149374,,,,171.887341,1
0.149376,,176.847514,,,1
0.179561,180.388008,180.316288,-0.071720,,1
0.179561,,,,12.624752,1
0.179586,,180.316288,,,1
0.179590,,,,-3.211146,1
0.179590,179.951054,179.975968,0.024914,,1
0.179595,,179.975968,,,1
0.179597,180.144428,180.666748,0.522321,,1
0.179597,,,,-45.846382,1
0.179601,,180.666748,,,1
0.179605,181.476273,183.278766,1.802493,,1
0.179605,,,,-143.239450,1
0.179611,,183.278766,,,1
0.179614,175.706419,176.847514,1.141095,,1
0.179614,,,,-171.715581,1
0.179618,,176.847514,,,1
0.209886,180.261436,180.316288,0.054853,,1
0.209886,,,,-12.641027,1
0.209905,,180.316288,,,1
0.209909,179.983208,179.975968,-0.007240,,1
0.209909,,,,3.213277,1
0.209913,,179.975968,,,1
0.209916,180.602512,180.666748,0.064237,,1
0.209916,,,,45.827449,1
0.209920,,180.666748,,,1
0.209923,182.906462,183.278766,0.372304,,1
0.209923,,,,143.129209,1
0.209927,,183.278766,,,1
0.209930,,,,171.887341,1
0.209930,177.427009,176.847514,-0.579495,,1
0.209933,,176.847514,,,1
0.240269,180.387521,180.316288,-0.071233,,1
0.240269,,,,12.624820,1
0.240278,,180.316288,,,1
0.240280,179.951117,179.975968,0.024851,,1
0.240280,,,,-3.211227,1
0.240284,,179.975968,,,1
0.240285,,,,-45.846566,1
0.240285,180.143856,180.666748,0.522892,,1
0.240287,,180.666748,,,1
0.240288,181.472966,183.278766,1.805800,,1
0.240288,,,,-143.239450,1
0.240290,,183.278766,,,1
0.240291,175.711567,176.847514,1.135948,,1
0.240291,,,,-171.715839,1
0.240293,,176.847514,,,1
0.270520,180.260948,180.316288,0.055340,,1
0.270520,,,,-12.641071,1
0.270535,,180.316288,,,1
0.270537,,,,3.213353,1
0.270537,179.983271,179.975968,-0.007303,,1
0.270540,,179.975968,,,1
0.270542,180.601942,180.666748,0.064806,,1
0.270542,,,,45.827663,1
0.270544,,180.666748,,,1
0.270546,182.903158,183.278766,0.375608,,1
0.270546,,,,143.129375,1
0.270548,,183.278766,,,1
0.270549,177.432154,176.847514,-0.584640,,1
0.270549,,,,171.887341,1
0.270552,,176.847514,,,1
0.300990,180.387035,180.316288,-0.070747,,1
0.300990,,,,12.624889,1
0.301007,,180.316288,,,1
0.301009,179.951179,179.975968,0.024789,,1
0.301009,,,,-3.211307,1
0.301014,,179.975968,,,1
0.301016,180.143285,180.666748,0.523463,,1
0.301016,,,,-45.846750,1
0.301018,,180.666748,,,1
0.301020,181.469663,183.278766,1.809103,,1
0.301020,,,,-143.239450,1
0.301023,,183.278766,,,1
0.301024,175.716706,176.847514,1.130808,,1
0.301024,,,,-171.716096,1
0.301027,,176.847514,,,1
0.331090,180.260462,180.316288,0.055826,,1
0.331090,,,,-12.641115,1
0.331111,,180.316288,,,1
0.331114,179.983334,179.975968,-0.007366,,1
0.331114,,,,3.213430,1
0.331116,,179.975968,,,1
0.331117,180.601374,180.666748,0.065374,,1
0.331117,,,,45.827876,1
0.331121,,180.666748,,,1
0.331125,182.899859,183.278766,0.378907,,1
0.331125,,,,143.129541,1
0.331135,,183.278766,,,1
0.331137,177.437291,176.847514,-0.589777,,1
0.331137,,,,171.887341,1
0.331139,,176.847514,,,1
0.361433,,,,12.624957,1
0.361433,180.386550,180.316288,-0.070262,,1
0.361451,,180.316288,,,1
0.361453,,,,-3.211388,1
0.361453,179.951241,179.975968,0.024727,,1
0.361457,,179.975968,,,1
0.361459,180.142715,180.666748,0.524033,,1
0.361459,,,,-45.846934,1
0.361462,,180.666748,,,1
0.361465,181.466366,183.278766,1.812400,,1
0.361465,,,,-143.239450,1
0.361468,,183.278766,,,1
0.361469,175.721839,176.847514,1.125676,,1
0.361469,,,,-171.716352,1
0.361472,,176.847514,,,1
0.391664,180.259976,180.316288,0.056312,,1
0.391664,,,,-12.641159,1
